player,league,nationality
Yasir Khan,PSL,PAK
Mohammad Rizwan,PSL,PAK
Usman Khan,PSL,PAK
SD Hope,CPL,WI
Kamran Ghulam,PSL,PAK
Iftikhar Ahmed,PSL,PAK
MG Bracewell,Overseas,NZ
J Little,Overseas,IRE
Ubaid Shah,PSL,PAK
Akif Javed,PSL,PAK
Mohammad Hasnain,PSL,PAK
Fakhar Zaman,PSL,PAK
Muhammad Naeem,Overseas,KSA
Abdullah Shafique,PSL,PAK
DJ Mitchell,Overseas,NZ/AUS
Sikandar Raza,Overseas,ZIM
Asif Ali,PSL,PAK
Shaheen Shah Afridi,PSL,PAK
Haris Rauf,PSL,PAK
Asif Afridi,PSL,PAK
Gauhar Ali,PSL,PAK
Haris Sohail,PSL,PAK
AB de Villiers,SA20,SA
CJ Anderson,Overseas,NZ
Sohail Akhtar,PSL,PAK
D Wiese,Overseas,NAM/SA
S Lamichhane,Overseas,NEP
Yasir Shah,PSL,PAK
Aizaz Cheema,PSL,PAK
Babar Azam,PSL,PAK
C Munro,Overseas,NZ
CA Ingram,SA20,SA
Imad Wasim,PSL,PAK
Aamer Yamin,PSL,PAK
Mohammad Amir,PSL,PAK
Umer Khan,PSL,PAK
AW Summers,BBL,AUS
Zeeshan Ashraf,PSL,PAK
Shan Masood,PSL,PAK
Khushdil Shah,PSL,PAK
Asad Shafiq,PSL,PAK
Rohail Nazir,PSL,PAK
Bilawal Bhatti,PSL,PAK
Ali Shafiq,PSL,PAK
Junaid Khan,PSL,PAK
Usman Qadir,PSL,PAK
CA Lynn,BBL,AUS
Mohammad Hafeez,PSL,PAK
BR Dunk,BBL,AUS
Raja Farzan,PSL,PAK
Dilbar Hussain,PSL,PAK
Saim Ayub,PSL,PAK
R Powell,CPL,WI
Mohammad Haris,PSL,PAK
Haseebullah Khan,PSL,PAK
Aamer Jamal,PSL,PAK
Wahab Riaz,PSL,PAK
Azmatullah Omarzai,Overseas,AFG
Mujeeb Ur Rahman,Overseas,AFG
Arshad Iqbal,PSL,PAK
MJ Guptill,Overseas,NZ
Mohammad Nawaz,PSL,PAK
Umar Akmal,PSL,PAK
D Pretorius,SA20,SA
Naseem Shah,PSL,PAK
Aimal Khan,PSL,PAK
TL Seifert,Overseas,NZ
DA Warner,BBL,AUS
Muhammad Riazullah,PSL,PAK
Irfan Khan,IPL,IND
Mohammad Nabi,Overseas,AFG/PAK
Abbas Afridi,PSL,PAK
Hasan Ali,PSL,PAK
Mir Hamza,PSL,PAK
Saud Shakeel,PSL,PAK
FH Allen,Overseas,NZ
Hassan Nawaz,Overseas,MDV
BKG Mendis,LPL,SL
Khawaja Nafay,PSL,PAK
RR Rossouw,SA20,SA
Faheem Ashraf,PSL,PAK
SA Abbott,BBL,AUS
Abrar Ahmed,PSL,PAK
Ali Majid,PSL,PAK
DR Smith,CPL,WI
Rafatullah Mohmand,PSL,PAK
BJ Haddin,BBL,AUS
Misbah-ul-Haq,PSL,PAK
SR Watson,BBL,AUS
Amad Butt,PSL,PAK
Shadab Khan,ISL,PAK
Mohammad Sami,PSL,PAK
Mohammad Irfan,PSL,PAK
Rumman Raees,PSL,PAK
Tamim Iqbal,BPL,BAN
Kamran Akmal,PSL,PAK
EJG Morgan,Overseas,ENG/IRE
Sohaib Maqsood,PSL,PAK
Shakib Al Hasan,BPL,BAN
DJG Sammy,CPL,WI
Shahid Afridi,PSL,PAK
Hazratullah,Overseas,AFG
Shoaib Malik,PSL,PAK
SE Rutherford,CPL,WI
BCJ Cutting,BBL,AUS
Hussain Talat,PSL,PAK
Salman Irshad,PSL,PAK
Rahmanullah Gurbaz,Overseas,AFG
Mubasir Khan,PSL,PAK
Danish Aziz,PSL,PAK
Azam Khan,PSL,PAK
LA Dawson,T20 Blast/Hundred,ENG
M de Lange,SA20,SA
Muhammad Musa,PSL,PAK
Waqas Maqsood,PSL,PAK
Zahir Khan,Overseas,AFG
Umaid Asif,PSL,PAK
Ibtisam Sheikh,PSL,PAK
CJ Jordan,T20 Blast/Hundred,ENG
Mohammad Asghar,PSL,PAK
L Ronchi,Overseas,NZ/AUS
CAK Walton,CPL,WI
AD Russell,CPL,WI
PBB Rajapaksa,LPL,SL
JDS Neesham,Overseas,NZ
Khurram Shahzad,Overseas,QAT
Sufiyan Muqeem,PSL,PAK
MS Wade,BBL,AUS
Sharjeel Khan,PSL,PAK
Haider Ali,Overseas,BHR
Qasim Akram,PSL,PAK
AJ Tye,BBL,AUS
Imran Tahir,Overseas,SA/PAK
Sahibzada Farhan,PSL,PAK
HE van der Dussen,SA20,SA
Ahsan Hafeez,PSL,PAK
Jahandad Khan,PSL,PAK
GF Linde,SA20,SA
Zaman Khan,PSL,PAK
Muhammad Akhlaq,PSL,PAK
KA Pollard,CPL,WI
DR Sams,BBL,AUS
T Shamsi,SA20,SA
Ahsan Ali,PSL,PAK
Sarfraz Ahmed,PSL,PAK
Hassan Khan,Overseas,USA/PAK
Sohail Tanvir,PSL,PAK
Noor Ahmad,Overseas,AFG
Ghulam Mudassar,PSL,PAK
PD Salt,T20 Blast/Hundred,ENG
HC Brook,T20 Blast/Hundred,ENG
Rashid Khan,Overseas,AFG
ADS Fletcher,CPL,WI
Imam-ul-Haq,PSL,PAK
Umar Amin,PSL,PAK
Sameen Gul,PSL,PAK
Ahmed Shehzad,PSL,PAK
DJ Bravo,CPL,WI
Mohammad Nawaz (3),PSL,PAK
Fawad Ahmed,Overseas,AUS/PAK
CR Brathwaite,CPL,WI
DJ Malan,T20 Blast/Hundred,ENG
RR Hendricks,SA20,SA
DJ Willey,T20 Blast/Hundred,ENG
Usama Mir,PSL,PAK
Mohammad Ali,PSL,PAK
Shahnawaz Dhani,Overseas,CAN/WI
Mirza Baig,PSL,PAK
Abdul Bangalzai,PSL,PAK
OF Smith,CPL,WI
Qais Ahmad,Overseas,AFG
Tayyab Abbas,PSL,PAK
Anwar Ali,PSL,PAK
Arafat Minhas,PSL,PAK
Zahid Mahmood,PSL,PAK
B Muzarabani,Overseas,ZIM
KC Sangakkara,LPL,SL
RA Whiteley,T20 Blast/Hundred,ENG
Saif Badar,Overseas,USA/PAK
AP Devcich,Overseas,NZ
Agha Salman,PSL,PAK
Gulraiz Sadaf,PSL,PAK
BB McCullum,Overseas,NZ
SP Narine,CPL,WI
Sohail Khan,PSL,PAK
MJ McClenaghan,Overseas,NZ
LJ Wright,T20 Blast/Hundred,ENG
KP Pietersen,T20 Blast/Hundred,ENG
Saad Nasim,PSL,PAK
Zulfiqar Babar,PSL,PAK
TS Mills,T20 Blast/Hundred,ENG
MN Samuels,CPL,WI
MH Wessels,T20 Blast/Hundred,ENG
Rahat Ali,PSL,PAK
B Laughlin,BBL,AUS
Nauman Anwar,Overseas,USA/PAK
Mushfiqur Rahim,BPL,BAN
CH Gayle,CPL,WI
CS Delport,SA20,SA
Hammad Azam,Overseas,UAE
Naved Yasin,PSL,PAK
KK Cooper,CPL,WI
Zafar Gohar,PSL,PAK
Zohaib Khan,PSL,PAK
Ehsan Adil,Overseas,USA/PAK
Najibullah Zadran,Overseas,AFG
Naveen-ul-Haq,Overseas,AFG
AD Hales,T20 Blast/Hundred,ENG
Fazalhaq Farooqi,Overseas,AFG
WD Parnell,SA20,SA
Umar Siddiq,PSL,PAK
J Charles,CPL,WI
LJ Evans,T20 Blast/Hundred,ENG
DT Christian,BBL,AUS
Mohammad Ilyas,PSL,PAK
Nauman Ali,T20 Blast/Hundred,ENG
Mohammad Wasim,PSL,PAK
Rizwan Hussain,PSL,PAK
CJ Green,BBL,AUS
LMP Simmons,CPL,WI
Saifullah Bangash,PSL,PAK
E Chigumbura,Overseas,ZIM
Umar Gul,PSL,PAK
Akbar-ur-Rehman,PSL,PAK
AJ Turner,BBL,AUS
Rishad Hossain,BPL,BAN
Muhammad Faizan,PSL,PAK
TH David,Overseas,AUS/SGP
JP Faulkner,BBL,AUS
Ahmed Daniyal,PSL,PAK
DA Miller,SA20,SA
FA Allen,CPL,WI
Mohammad Imran,PSL,PAK
JM Clarke,T20 Blast/Hundred,ENG
TA Lammonby,T20 Blast/Hundred,ENG
L Gregory,T20 Blast/Hundred,ENG
Mohammad Taha,PSL,PAK
BM Duckett,T20 Blast/Hundred,ENG
Ashir Qureshi,PSL,PAK
Saad Baig,PSL,PAK
Mohammad Amir Khan,PSL,PAK
Mohammad Umar,PSL,PAK
S Mahmood,T20 Blast/Hundred,ENG
Ahmed Safi Abdullah,PSL,PAK
F du Plessis,SA20,SA
J Weatherald,BBL,AUS
SO Hetmyer,CPL,WI
Imran Khan,Overseas,BHR
L Wood,T20 Blast/Hundred,ENG
Salman Fayyaz,PSL,PAK
AJ Hosein,CPL,WI
Ihsanullah,Overseas,AFG
Imran Khan (2),Overseas,OMA/IND
UT Khawaja,BBL,AUS
